#{"t_start": 1650012600.3294065, "env_id": "A1GymEnv-v1"}
r,l,t
1.424685,53,94.937189
-0.609394,54,95.030762
0.928775,40,95.101277
0.646283,68,95.24384
-0.160594,45,95.320282
2.428679,75,95.472139
-0.098003,30,95.523971
1.244882,45,95.601261
0.655875,49,95.708564
0.502072,55,95.800651
1.501388,49,95.907531
-0.52931,31,95.960381
2.545148,59,96.059686
5.352257,78,96.216932
0.467026,36,96.278597
3.189967,78,96.440513
-1.301253,64,96.547668
3.752105,70,96.692991
1.851316,56,96.790123
0.523172,48,96.899415
0.775579,38,96.965297
1.54086,60,97.089835
1.071675,76,97.218658
0.917296,55,97.336406
-1.619553,69,97.457136
1.697229,55,97.571625
-0.775479,48,97.654207
